------------------------------------------------------------
Loading the dataset...
------------------------------------------------------------
SVM
0.320,kernel=rbf,C=32.0,gamma=2.0,SVM
0.320,kernel=rbf,C=32.0,gamma=8.0,SVM
0.836,kernel=rbf,C=128.0,gamma=3.0517578125e-05,SVM
0.791,kernel=rbf,C=128.0,gamma=0.0001220703125,SVM
0.689,kernel=rbf,C=128.0,gamma=0.00048828125,SVM
0.549,kernel=rbf,C=128.0,gamma=0.001953125,SVM
0.404,kernel=rbf,C=128.0,gamma=0.0078125,SVM
0.328,kernel=rbf,C=128.0,gamma=0.03125,SVM
0.320,kernel=rbf,C=128.0,gamma=0.125,SVM
0.320,kernel=rbf,C=128.0,gamma=0.5,SVM
0.320,kernel=rbf,C=128.0,gamma=2.0,SVM
0.320,kernel=rbf,C=128.0,gamma=8.0,SVM
0.835,kernel=rbf,C=512.0,gamma=3.0517578125e-05,SVM
0.791,kernel=rbf,C=512.0,gamma=0.0001220703125,SVM
0.689,kernel=rbf,C=512.0,gamma=0.00048828125,SVM
0.549,kernel=rbf,C=512.0,gamma=0.001953125,SVM
0.404,kernel=rbf,C=512.0,gamma=0.0078125,SVM
0.328,kernel=rbf,C=512.0,gamma=0.03125,SVM
0.320,kernel=rbf,C=512.0,gamma=0.125,SVM
0.320,kernel=rbf,C=512.0,gamma=0.5,SVM
0.320,kernel=rbf,C=512.0,gamma=2.0,SVM
0.320,kernel=rbf,C=512.0,gamma=8.0,SVM
0.834,kernel=rbf,C=2048.0,gamma=3.0517578125e-05,SVM
0.791,kernel=rbf,C=2048.0,gamma=0.0001220703125,SVM
0.689,kernel=rbf,C=2048.0,gamma=0.00048828125,SVM
0.549,kernel=rbf,C=2048.0,gamma=0.001953125,SVM
0.404,kernel=rbf,C=2048.0,gamma=0.0078125,SVM
0.328,kernel=rbf,C=2048.0,gamma=0.03125,SVM
0.320,kernel=rbf,C=2048.0,gamma=0.125,SVM
0.320,kernel=rbf,C=2048.0,gamma=0.5,SVM
0.320,kernel=rbf,C=2048.0,gamma=2.0,SVM
0.320,kernel=rbf,C=2048.0,gamma=8.0,SVM
0.834,kernel=rbf,C=8192.0,gamma=3.0517578125e-05,SVM
0.791,kernel=rbf,C=8192.0,gamma=0.0001220703125,SVM
0.689,kernel=rbf,C=8192.0,gamma=0.00048828125,SVM
0.549,kernel=rbf,C=8192.0,gamma=0.001953125,SVM
0.404,kernel=rbf,C=8192.0,gamma=0.0078125,SVM
0.328,kernel=rbf,C=8192.0,gamma=0.03125,SVM
0.320,kernel=rbf,C=8192.0,gamma=0.125,SVM
0.320,kernel=rbf,C=8192.0,gamma=0.5,SVM
0.320,kernel=rbf,C=8192.0,gamma=2.0,SVM
0.320,kernel=rbf,C=8192.0,gamma=8.0,SVM
0.834,kernel=rbf,C=32768.0,gamma=3.0517578125e-05,SVM
0.791,kernel=rbf,C=32768.0,gamma=0.0001220703125,SVM
0.689,kernel=rbf,C=32768.0,gamma=0.00048828125,SVM
0.549,kernel=rbf,C=32768.0,gamma=0.001953125,SVM
0.404,kernel=rbf,C=32768.0,gamma=0.0078125,SVM
0.328,kernel=rbf,C=32768.0,gamma=0.03125,SVM
0.320,kernel=rbf,C=32768.0,gamma=0.125,SVM
0.320,kernel=rbf,C=32768.0,gamma=0.5,SVM
0.320,kernel=rbf,C=32768.0,gamma=2.0,SVM
0.320,kernel=rbf,C=32768.0,gamma=8.0,SVM
0.501,kernel=poly,C=0.125,gamma=3.0517578125e-05,degree=1,SVM
0.405,kernel=poly,C=0.125,gamma=3.0517578125e-05,degree=2,SVM
0.390,kernel=poly,C=0.125,gamma=3.0517578125e-05,degree=3,SVM
0.383,kernel=poly,C=0.125,gamma=3.0517578125e-05,degree=4,SVM
0.659,kernel=poly,C=0.125,gamma=0.0001220703125,degree=1,SVM
0.487,kernel=poly,C=0.125,gamma=0.0001220703125,degree=2,SVM
0.451,kernel=poly,C=0.125,gamma=0.0001220703125,degree=3,SVM
0.434,kernel=poly,C=0.125,gamma=0.0001220703125,degree=4,SVM
0.764,kernel=poly,C=0.125,gamma=0.00048828125,degree=1,SVM
0.619,kernel=poly,C=0.125,gamma=0.00048828125,degree=2,SVM
0.561,kernel=poly,C=0.125,gamma=0.00048828125,degree=3,SVM
0.528,kernel=poly,C=0.125,gamma=0.00048828125,degree=4,SVM
0.813,kernel=poly,C=0.125,gamma=0.001953125,degree=1,SVM
0.705,kernel=poly,C=0.125,gamma=0.001953125,degree=2,SVM
0.629,kernel=poly,C=0.125,gamma=0.001953125,degree=3,SVM
0.567,kernel=poly,C=0.125,gamma=0.001953125,degree=4,SVM
0.848,kernel=poly,C=0.125,gamma=0.0078125,degree=1,SVM
0.772,kernel=poly,C=0.125,gamma=0.0078125,degree=2,SVM
0.697,kernel=poly,C=0.125,gamma=0.0078125,degree=3,SVM
0.633,kernel=poly,C=0.125,gamma=0.0078125,degree=4,SVM
0.862,kernel=poly,C=0.125,gamma=0.03125,degree=1,SVM
0.805,kernel=poly,C=0.125,gamma=0.03125,degree=2,SVM
0.747,kernel=poly,C=0.125,gamma=0.03125,degree=3,SVM
0.695,kernel=poly,C=0.125,gamma=0.03125,degree=4,SVM
0.860,kernel=poly,C=0.125,gamma=0.125,degree=1,SVM
0.814,kernel=poly,C=0.125,gamma=0.125,degree=2,SVM
0.755,kernel=poly,C=0.125,gamma=0.125,degree=3,SVM
0.686,kernel=poly,C=0.125,gamma=0.125,degree=4,SVM
0.859,kernel=poly,C=0.125,gamma=0.5,degree=1,SVM
0.814,kernel=poly,C=0.125,gamma=0.5,degree=2,SVM
0.755,kernel=poly,C=0.125,gamma=0.5,degree=3,SVM
0.686,kernel=poly,C=0.125,gamma=0.5,degree=4,SVM
0.859,kernel=poly,C=0.125,gamma=2.0,degree=1,SVM
0.814,kernel=poly,C=0.125,gamma=2.0,degree=2,SVM
